a,pit_stop
9.989330,0.000000
9.981621,0.000000
9.981620,0.000000
9.952253,0.000000
9.952252,0.000000
9.881397,0.000000
9.881395,0.000000
9.733712,0.000000
9.733709,0.000000
9.459340,0.000000
9.459334,0.000000
9.002037,0.000000
9.002027,0.000000
8.316079,0.000000
8.316065,0.000000
7.388017,0.000000
7.387998,0.000000
6.253717,0.000000
6.253694,0.000000
5.000015,0.000000
4.999990,0.000000
3.746311,0.000000
3.746286,0.000000
2.612004,0.000000
2.611982,0.000000
1.683933,0.000000
1.683915,0.000000
0.997966,0.000000
0.997952,0.000000
0.540653,0.000000
0.540644,0.000000
0.266265,0.000000
0.266259,0.000000
0.118516,0.000000
0.118513,0.000000
0.047378,0.000000
0.047376,0.000000
0.016890,0.000000
0.016889,0.000000
0.005325,0.000000
0.005325,0.000000
0.001470,0.000000
0.001470,0.000000
0.000351,0.000000
0.000351,0.000000
0.000072,0.000000
0.000071,0.000000
0.000012,0.000000
0.000012,0.000000
0.000002,0.000000
0.000002,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000002,0.000000
-0.000002,0.000000
-0.000012,0.000000
-0.000015,0.000000
-0.000071,0.000000
-0.000086,0.000000
-0.000351,0.000000
-0.000411,0.000000
-0.001470,0.000000
-0.001674,0.000000
-0.005325,0.000000
-0.005937,0.000000
-0.016889,0.000000
-0.018503,0.000000
-0.047376,0.000000
-0.051143,0.000000
-0.118513,0.000000
-0.126336,0.000000
-0.266259,0.000000
-0.280786,0.000000
-0.540644,0.000000
-0.564856,0.000000
-0.997951,0.000000
-1.034268,0.000000
-1.683903,0.000000
-1.733038,0.000000
-2.611913,0.000000
-2.671965,0.000000
-3.745949,0.000000
-3.812310,0.000000
-4.998579,0.000000
-5.064896,0.000000
-6.248573,0.000000
-6.308424,0.000000
-7.371721,0.000000
-7.420245,0.000000
-8.270303,0.000000
-8.305006,0.000000
-8.887281,0.000000
-8.907726,0.000000
-9.200899,0.000000
-9.207604,0.000000
0.000000,0.000000
9.147872,0.000000
9.138356,0.000000
8.794474,0.000000
8.764036,0.000000
8.059309,0.000000
8.002853,0.000000
6.920387,0.000000
6.831288,0.000000
5.379857,0.000000
5.252617,0.000000
3.488326,0.000000
3.321784,0.000000
1.355515,0.000000
1.155797,0.000000
-0.856872,0.000000
-1.074748,0.000000
-2.956763,0.000000
-3.169675,0.000000
-4.749928,0.000000
-4.930197,0.000000
-6.066520,0.000000
-6.187594,0.000000
-6.780866,0.000000
-6.823557,0.000000
-1.060319,0.000000
-1.213996,0.000000
-1.550460,0.000000
-1.983118,0.000000
-2.598862,0.000000
-3.228462,0.000000
-4.012480,0.000000
-4.717895,0.000000
-5.524826,0.000000
-6.175569,0.000000
-6.861262,0.000000
-7.349919,0.000000
-7.803792,0.000000
-8.062942,0.000000
-8.220961,0.000000
0.000000,0.000000
5.743725,0.000000
5.743718,0.000000
5.743715,0.000000
5.669456,0.000000
5.579016,0.000000
5.216718,0.000000
4.871199,0.000000
4.049495,0.000000
3.419750,0.000000
2.186973,0.000000
1.381914,0.000000
-0.074757,0.000000
-0.922250,0.000000
-2.378921,0.000000
-3.138587,0.000000
-4.371364,0.000000
-4.936920,0.000000
-5.758624,0.000000
-6.058759,0.000000
-6.346804,0.000000
0.000000,0.000000
1.535437,0.000000
1.502586,0.000000
0.668925,0.000000
0.577261,0.000000
-0.899930,0.000000
-1.031703,0.000000
-2.835465,0.000000
-2.981904,0.000000
-4.763977,0.000000
-4.899061,0.000000
-6.364175,0.000000
-6.466311,0.000000
-7.414723,0.000000
-7.469341,0.000000
-7.795912,0.000000
0.000000,0.000000
5.856741,0.000000
5.470176,0.000000
5.354914,0.000000
4.262614,0.000000
4.054854,0.000000
2.452740,0.000000
2.193604,0.000000
0.382957,0.000000
0.123821,0.000000
-1.536379,0.000000
-1.744138,0.000000
-2.908870,0.000000
-3.024132,0.000000
-3.442932,0.000000
0.000000,0.000000
6.801022,0.000000
6.693405,0.000000
6.170015,0.000000
5.869122,0.000000
4.922823,0.000000
4.491834,0.000000
3.317329,0.000000
2.851149,0.000000
1.711829,0.000000
1.318653,0.000000
0.491179,0.000000
0.266481,0.000000
-0.036115,0.000000
-0.041298,0.000000
-0.082716,0.000000
-0.464225,0.000000
-0.620159,0.000000
-1.555885,0.000000
-1.832190,0.000000
-3.140991,0.000000
-3.478381,0.000000
-4.879430,0.000000
-5.212762,0.000000
-6.451480,0.000000
-6.725526,0.000000
-7.625207,0.000000
-7.802606,0.000000
-8.269829,0.000000
-8.330913,0.000000
0.000000,0.000000
5.178762,0.000000
5.059824,0.000000
4.600432,0.000000
4.256716,0.000000
3.387779,0.000000
2.859603,0.000000
1.686276,0.000000
1.042218,0.000000
-0.274156,0.000000
-0.940726,0.000000
-2.197569,0.000000
-2.780085,0.000000
-3.767108,0.000000
-4.165150,0.000000
-4.708026,0.000000
-4.849463,0.000000
0.000000,0.000000
8.941337,0.000000
8.693540,0.000000
8.684747,0.000000
7.929133,0.000000
7.910668,0.000000
6.628194,0.000000
6.599027,0.000000
4.806223,0.000000
4.766284,0.000000
2.556486,0.000000
2.507624,0.000000
0.064191,0.000000
0.010460,0.000000
-2.419530,0.000000
-2.472452,0.000000
-4.632211,0.000000
-4.678210,0.000000
-6.354973,0.000000
-6.388735,0.000000
-7.441878,0.000000
-7.459686,0.000000
-7.817618,0.000000
0.000000,0.000000
8.754834,0.000000
8.584683,0.000000
8.381482,0.000000
7.862627,0.000000
7.459047,0.000000
6.578360,0.000000
5.989176,0.000000
4.757776,0.000000
4.020794,0.000000
2.501940,0.000000
1.681522,0.000000
-0.001420,0.000000
-0.823628,0.000000
-2.507631,0.000000
-3.251982,0.000000
-4.775561,0.000000
-5.384535,0.000000
-6.629954,0.000000
-7.079489,0.000000
-7.995957,0.000000
-8.293609,0.000000
-8.892505,0.000000
-9.065024,0.000000
-9.392721,0.000000
-9.469692,0.000000
-9.572622,0.000000
-1.236348,0.000000
-1.236348,0.000000
-1.236348,0.000000
0.000000,0.000000
9.719344,0.000000
9.690128,0.000000
9.539919,0.000000
9.442064,0.000000
9.105434,0.000000
8.911157,0.000000
8.330587,0.000000
8.003446,0.000000
7.127513,0.000000
6.637361,0.000000
5.453692,0.000000
4.794880,0.000000
3.356591,0.000000
2.563087,0.000000
0.996012,0.000000
0.145889,0.000000
-1.369120,0.000000
-2.164171,0.000000
-3.428071,0.000000
-4.046249,0.000000
-4.883694,0.000000
-5.222113,0.000000
-5.515046,0.000000
0.000000,0.000000
2.782717,0.000000
2.709906,0.000000
2.133648,0.000000
1.933167,0.000000
0.889260,0.000000
0.608227,0.000000
-0.724361,0.000000
-1.026688,0.000000
-2.455476,0.000000
-2.727158,0.000000
-4.093302,0.000000
-4.303217,0.000000
-5.499096,0.000000
-5.639912,0.000000
-6.598074,0.000000
-6.679864,0.000000
-7.352343,0.000000
-7.391954,0.000000
-7.740156,0.000000
-7.751595,0.000000
0.000000,0.000000
7.007488,0.000000
6.993250,0.000000
6.745529,0.000000
6.708335,0.000000
6.308372,0.000000
6.262558,0.000000
5.863656,0.000000
5.826722,0.000000
5.580718,0.000000
5.566641,0.000000
8.778541,0.000000
8.615941,0.000000
8.533347,0.000000
8.061632,0.000000
7.901001,0.000000
7.171319,0.000000
6.945816,0.000000
6.046745,0.000000
5.781633,0.000000
4.828565,0.000000
4.558843,0.000000
3.665773,0.000000
3.426859,0.000000
2.672385,0.000000
2.488598,0.000000
1.897272,0.000000
1.775251,0.000000
1.326373,0.000000
1.257059,0.000000
0.912409,0.000000
0.879098,0.000000
0.608385,0.000000
0.595039,0.000000
0.384326,0.000000
0.379955,0.000000
0.224971,0.000000
0.223831,0.000000
0.119958,0.000000
0.119730,0.000000
0.057570,0.000000
0.057537,0.000000
0.024650,0.000000
0.024645,0.000000
0.009337,0.000000
0.009321,0.000000
0.003045,0.000000
0.002967,0.000000
0.000553,0.000000
0.000243,0.000000
-0.001244,0.000000
-0.002314,0.000000
-0.005277,0.000000
-0.008486,0.000000
-0.016881,0.000000
-0.025340,0.000000
-0.047374,0.000000
-0.067113,0.000000
-0.118504,0.000000
-0.159498,0.000000
-0.266204,0.000000
-0.342325,0.000000
-0.540370,0.000000
-0.667189,0.000000
-0.996792,0.000000
-1.186826,0.000000
-1.679659,0.000000
-1.936114,0.000000
-2.598301,0.000000
-2.909845,0.000000
-3.707369,0.000000
-4.046793,0.000000
-4.901216,0.000000
-5.229361,0.000000
-6.028433,0.000000
-6.302188,0.000000
-6.923492,0.000000
-7.104879,0.000000
-7.445009,0.000000
-7.508457,0.000000
0.000000,0.000000
6.201356,0.000000
6.045310,0.000000
5.501948,0.000000
5.048109,0.000000
4.041492,0.000000
3.333948,0.000000
2.009898,0.000000
1.122987,0.000000
-0.335444,0.000000
-1.303655,0.000000
-2.714531,0.000000
-3.658759,0.000000
-4.879141,0.000000
-5.709196,0.000000
-6.659707,0.000000
-7.319241,0.000000
-7.987244,0.000000
-8.460632,0.000000
-8.883706,0.000000
-9.189055,0.000000
-9.428532,0.000000
-9.601499,0.000000
-9.717348,0.000000
-9.793235,0.000000
-9.826979,0.000000
0.000000,0.000000
9.869217,0.000000
9.849144,0.000000
9.789787,0.000000
9.722542,0.000000
9.589499,0.000000
9.455914,0.000000
9.226370,0.000000
9.001110,0.000000
8.654433,0.000000
8.315852,0.000000
7.846194,0.000000
7.387956,0.000000
6.813787,0.000000
6.253687,0.000000
5.619051,0.000000
4.999989,0.000000
4.365348,0.000000
3.746286,0.000000
3.172086,0.000000
2.611982,0.000000
2.142182,0.000000
1.683915,0.000000
1.336672,0.000000
0.997952,0.000000
0.766457,0.000000
0.540644,0.000000
0.401747,0.000000
0.266259,0.000000
0.191468,0.000000
0.118513,0.000000
0.082503,0.000000
0.047376,0.000000
0.031943,0.000000
0.016889,0.000000
0.011035,0.000000
0.005325,0.000000
0.003374,0.000000
0.001470,0.000000
0.000904,0.000000
0.000351,0.000000
0.000210,0.000000
0.000071,0.000000
0.000041,0.000000
0.000012,0.000000
0.000007,0.000000
0.000002,0.000000
0.000001,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000000,0.000000
-0.000002,0.000000
-0.000002,0.000000
-0.000012,0.000000
-0.000015,0.000000
-0.000071,0.000000
-0.000086,0.000000
-0.000351,0.000000
-0.000411,0.000000
-0.001470,0.000000
-0.001676,0.000000
-0.005325,0.000000
-0.005941,0.000000
-0.016889,0.000000
-0.018512,0.000000
-0.047376,0.000000
-0.051163,0.000000
-0.118513,0.000000
-0.126377,0.000000
-0.266259,0.000000
-0.280864,0.000000
-0.540644,0.000000
-0.564986,0.000000
-0.997952,0.000000
-1.034465,0.000000
-1.683915,0.000000
-1.733314,0.000000
-2.611982,0.000000
-2.672358,0.000000
-3.746286,0.000000
-3.813018,0.000000
-4.999990,0.000000
-5.066722,0.000000
-6.253694,0.000000
-6.314071,0.000000
-7.387998,0.000000
-7.437397,0.000000
-8.316065,0.000000
-8.352577,0.000000
-9.002026,0.000000
-9.026368,0.000000
-9.459324,0.000000
-9.473929,0.000000
-9.733653,0.000000
-9.741514,0.000000
-9.881130,0.000000
-9.884902,0.000000
-9.951193,0.000000
-9.952756,0.000000
-9.977971,0.000000
-9.978381,0.000000
0.000000,0.000000
2.957332,0.000000
2.957332,0.000000
2.957332,0.000000
9.940394,0.000000
9.915591,0.000000
9.897234,0.000000
9.809046,0.000000
9.760784,0.000000
9.568597,0.000000
9.466952,0.000000
9.107676,0.000000
8.918590,0.000000
8.319263,0.000000
8.004058,0.000000
7.104964,0.000000
6.632148,0.000000
5.415710,0.000000
4.776016,0.000000
3.289257,0.000000
2.507409,0.000000
0.864148,0.000000
0.000000,0.000000
-1.643261,0.000000
-2.507409,0.000000
-3.994168,0.000000
-4.776015,0.000000
-5.992453,0.000000
-6.632140,0.000000
-7.531234,0.000000
-8.004010,0.000000
-8.603337,0.000000
-8.918356,0.000000
-9.277632,0.000000
-9.465988,0.000000
-9.658175,0.000000
-9.757356,0.000000
-9.845544,0.000000
-9.886606,0.000000
-9.911409,0.000000
0.000000,0.000000
5.839168,0.000000
5.438295,0.000000
5.322295,0.000000
4.176513,0.000000
3.964663,0.000000
2.236637,0.000000
1.964359,0.000000
-0.102584,0.000000
-0.393066,0.000000
-2.517772,0.000000
-2.786947,0.000000
-4.702277,0.000000
-4.920628,0.000000
-6.416549,0.000000
-6.567120,0.000000
-7.508970,0.000000
-7.584998,0.000000
-7.905378,0.000000
0.000000,0.000000
9.580232,0.000000
9.485496,0.000000
9.395993,0.000000
9.094392,0.000000
8.893811,0.000000
8.342658,0.000000
7.996724,0.000000
7.153547,0.000000
6.631621,0.000000
5.486702,0.000000
4.781411,0.000000
3.383796,0.000000
2.526789,0.000000
0.990780,0.000000
0.057035,0.000000
-1.455634,0.000000
-2.358355,0.000000
-3.673110,0.000000
-4.426207,0.000000
-5.391185,0.000000
-5.890178,0.000000
-6.399152,0.000000
-6.573697,0.000000
0.000000,0.000000
6.020883,0.000000
5.890837,0.000000
5.430886,0.000000
5.062881,0.000000
4.249508,0.000000
3.711461,0.000000
2.732375,0.000000
2.136540,0.000000
1.216456,0.000000
0.703241,0.000000
0.051984,0.000000
-0.245545,0.000000
-0.480313,0.000000
0.000000,0.000000
1.787073,0.000000
1.787073,0.000000
1.787073,0.000000
8.463979,0.000000
8.305158,0.000000
8.054511,0.000000
7.583120,0.000000
7.075611,0.000000
6.312374,0.000000
5.548586,0.000000
4.541576,0.000000
3.547324,0.000000
2.378865,0.000000
1.217626,0.000000
-0.002625,0.000000
-1.232437,0.000000
-2.388669,0.000000
-3.572984,0.000000
-4.569923,0.000000
-5.607146,0.000000
-6.390069,0.000000
-7.215418,0.000000
-7.775399,0.000000
-8.371129,0.000000
-8.735626,0.000000
-9.124697,0.000000
-9.340166,0.000000
-9.568926,0.000000
-9.683733,0.000000
-9.802569,0.000000
-9.855475,0.000000
-9.904212,0.000000
-9.919184,0.000000
0.000000,0.000000
7.935561,0.000000
7.635257,0.000000
7.525329,0.000000
6.642499,0.000000
6.424790,0.000000
5.022611,0.000000
4.706898,0.000000
2.911593,0.000000
2.522393,0.000000
0.530832,0.000000
0.110824,0.000000
-1.826593,0.000000
-2.220278,0.000000
