a,pit_stop
10.000000,0.000000
3.056320,0.000000
-1.791883,0.000000
-7.746344,0.000000
-0.137732,0.000000
0.000000,0.000000
-2.182660,0.000000
0.000000,0.000000
-0.102993,0.000000
-0.091668,0.000000
0.000000,0.000000
9.983421,0.000000
-10.000000,0.000000
-0.312930,0.000000
-0.080606,0.000000
-0.369802,0.000000
-0.071565,0.000000
0.000000,0.000000
0.926279,0.000000
0.000000,0.000000
0.592789,0.000000
0.705283,0.000000
0.943634,0.000000
7.401252,0.000000
0.000000,0.000000
5.183029,0.000000
-7.235657,0.000000
-3.230752,0.000000
0.000000,0.000000
4.749008,0.000000
-7.413086,0.000000
0.000000,0.000000
10.000000,0.000000
10.000000,0.000000
10.000000,0.000000
-3.739559,0.000000
-6.391315,0.000000
-10.000000,0.000000
-10.000000,0.000000
0.000000,0.000000
-0.327235,0.000000
0.000000,0.000000
1.161797,0.000000
0.000000,0.000000
10.000000,0.000000
-8.446475,0.000000
-1.209209,0.000000
0.000000,0.000000
10.000000,0.000000
10.000000,0.000000
10.000000,0.000000
4.168760,0.000000
-2.114345,0.000000
-4.292715,0.000000
-6.850859,0.000000
-10.000000,0.000000
0.000000,0.000000
3.817825,0.000000
-10.000000,0.000000
0.000000,0.000000
10.000000,0.000000
-3.302331,0.000000
-10.000000,0.000000
0.000000,0.000000
-4.137854,0.000000
-0.512520,0.000000
-0.323044,0.000000
0.000000,0.000000
1.104757,0.000000
1.955524,0.000000
0.012873,0.000000
-3.086109,0.000000
0.000000,0.000000
0.180035,0.000000
0.721186,0.000000
-0.747648,0.000000
0.000000,0.000000
0.083282,0.000000
0.096200,0.000000
9.732416,0.000000
-10.000000,0.000000
-0.102788,0.000000
0.000000,0.000000
10.000000,0.000000
-8.297334,0.000000
0.000000,0.000000
10.000000,0.000000
2.862671,0.000000
-10.000000,0.000000
0.000000,0.000000
10.000000,0.000000
7.970637,0.000000
-4.842591,0.000000
-10.000000,0.000000
-3.543374,0.000000
-1.983705,0.000000
0.000000,0.000000
0.557806,0.000000
5.710203,0.000000
0.000000,0.000000
7.396942,0.000000
-5.478080,0.000000
-10.000000,0.000000
0.000000,0.000000
0.373044,0.000000
0.692273,0.000000
10.000000,0.000000
10.000000,0.000000
-2.783179,0.000000
-10.000000,0.000000
-2.217624,0.000000
0.000000,0.000000
2.319966,0.000000
0.793567,0.000000
1.528100,0.000000
1.516895,0.000000
0.000000,0.000000
5.431806,0.000000
10.000000,0.000000
